一级类目,二级类目,三级类目,三级类目链接,类型,关键词
图书、音像、电子书刊,电子书刊,网络原创,https://e.jd.com/products/5272-10941.html,分类：,言情 历史 短篇 仙侠 奇幻 体育 职场 玄幻 都市 灵异 武侠 二次元 军事 原创品汇 游戏 科幻 女性
图书、音像、电子书刊,电子书刊,数字杂志,https://e.jd.com/products/5272-10953.html,分类：,生活/家庭 经管理财 社科 娱乐/时尚 文学艺术 文摘 科技 学习参考
图书、音像、电子书刊,电子书刊,多媒体图书,https://e.jd.com/products/5272-10962.html,分类：,儿童 电子试卷 其他
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",出版社： 已选条件：,北京语言大学出版社 新世纪出版社 外语教学与研究出版社 未来出版社 Wordsworth Walker Books Ltd Vintage Usborne Thames & Hudson Simon & Schuster Scholastic Random House Puffin Books Puffin Phaidon Press Penguin Books Pan Macmillan Oxford University Press
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",少儿年龄：,Ages 0-5 Ages 6-12
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",童书类型：,"Animals(动物) Art & Music(艺术/音乐) Audible Books(发声读物) Education & Reference(参考书/教育) Gifts & Toys(礼品玩具书) History(历史) Holidays & Celebrations(节日/假日) Literature & Fiction(文学) Picture Books(绘本) Science, Nature & How It Works(科普/百科) Sports & Activities(运动与活动) Touch & Feel Books(触摸型读物)"
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",童书系列：,Berenstain Bear(贝贝熊) Biscuit(小饼干) Captain Underpants(内裤超人) Clifford(大红狗) Curious George(好奇猴乔治) Dora(朵拉) Dr. Seuss(苏斯博士) Eric Carle(艾瑞克·卡尔大师作品) Geronimo Stilton(老鼠记者) Harry Potter(哈利波特系列) Henry and Mudge(亨利和玛齐) I Can Read(I Can Read系列) Ladybird(小瓢虫) Magic Tree(神奇树屋系列) One Piece(海贼王) Roald Dahl(故事大王) The Magic School Bus(神奇校车系列) Warriors(猫武士)
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",奖项：,Caldecott Medal Winner(凯迪克金奖) Caldecott Honor Books(凯迪克银奖) Newbery Medal Winner(纽伯瑞儿童文学奖金奖) Newbery Honor Books(纽伯瑞儿童文学奖银奖) Robert F. Sibert Medal Winner(罗伯特 F. 赛伯特奖) The Geisel Award Medal Winner(苏斯博士金奖) The Geisel Award Honor Books(苏斯博士银奖)
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",出版社： 已选条件：,Wiley W.W. Norton & Co. Vintage Thames & Hudson Springer Simon & Schuster Routledge Random House Princeton Review Prentice Hall Phaidon Press Penguin Books Pearson Pan Macmillan Oxford University Press O'Reilly Media McGraw-Hill Mariner Books
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",经管类型：,Industries & Professions(产业/行业) Management & Leadership(管理/领导力) Economics(经济学) Popular Economics(通俗经济学) International(国际) Marketing & Sales(市场/销售) Job Hunting & Careers(求职/职业) Skills(商务实务/技能) Business & Entrepreneurship(企业/企业家) Personal Finance(个人理财) Investing & Finance(投资/金融) Women & Business(女性/商业) Account(会计)
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",包装：,平装 精装
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,英文原版,英语学习与考试,"https://list.jd.com/list.html?cat=1713,4855,4864",出版社： 已选条件：,剑桥大学出版社 Walker Books Ltd Vintage Books Usborne Thames & Hudson Springer Simon & Schuster Scholastic Routledge Random House Puffin Princeton Review Prentice Hall Penguin Books PEARSON Pearson Oxford University Press National Geographic Society
图书、音像、电子书刊,英文原版,英语学习与考试,"https://list.jd.com/list.html?cat=1713,4855,4864",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,英语学习与考试,"https://list.jd.com/list.html?cat=1713,4855,4864",包装：,平装 精装 盒装
图书、音像、电子书刊,英文原版,英语学习与考试,"https://list.jd.com/list.html?cat=1713,4855,4864",客户评分：,5星 4星及以上 3星及以上 2星及以上
图书、音像、电子书刊,英文原版,英语学习与考试,"https://list.jd.com/list.html?cat=1713,4855,4864",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",出版社： 已选条件：,Wordsworth Walker Books Ltd Vintage Books Vintage Usborne Tor Books Simon & Schuster Scholastic Routledge Random House Puffin Books Puffin Penguin Books Pan Macmillan Oxford University Press Merriam Webster Mariner Books Little Brown
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",文学类型：,Science Fiction & Fantasy(科幻/玄幻) Mystery & Thrillers(神秘/惊悚) Romance(浪漫小说) Historical Fiction(历史小说) War(战争小说) Action & Adventure(动作/冒险) Poetry(诗歌) Drama(戏剧) Essays(散文) Movie Tie-in(影视小说) Classic(经典名著)
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",奖项：,Nobel Prize in Literature(诺贝尔文学奖) Man Book Prize Winner(布克奖)
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",获奖年份：,2013 2007 2006 2000
图书、音像、电子书刊,英文原版,文学,"https://list.jd.com/list.html?cat=1713,4855,4870",包装：,平装 精装 简装
图书、音像、电子书刊,英文原版,传记,"https://list.jd.com/list.html?cat=1713,4855,4857",出版社： 已选条件：,Wordsworth Wiley W.W. Norton & Co. Vintage Books Vintage Thames & Hudson Springer Simon & Schuster Scholastic Routledge Random House Puffin Books Phaidon Press Penguin Books Pearson Pan Macmillan Oxford University Press O'Reilly Media
图书、音像、电子书刊,英文原版,传记,"https://list.jd.com/list.html?cat=1713,4855,4857",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,传记,"https://list.jd.com/list.html?cat=1713,4855,4857",传记类型：,Memoirs(自传) Arts & Literature(艺术家/文学家) Leaders & Notable People(领袖/名人) Professionals & Academics(专业人士/学者) Historical(历史人物) Reference & Collections(参考书/合集) Travel(游记随笔) Sports & Outdoors (体育/探险) True Accounts(亲历现场) Entertainment & Performing Arts(文娱明星) Business(商务人士) Women(女性传记)
图书、音像、电子书刊,英文原版,传记,"https://list.jd.com/list.html?cat=1713,4855,4857",包装：,平装 精装
图书、音像、电子书刊,英文原版,传记,"https://list.jd.com/list.html?cat=1713,4855,4857",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,英文原版,励志,"https://list.jd.com/list.html?cat=1713,4855,4882",出版社： 已选条件：,Wiley Vintage Books Vintage Thames & Hudson Simon & Schuster Random House Puffin Books Phaidon Press Penguin Books Pan Macmillan O'Reilly Media National Geographic Society McGraw-Hill Mariner Books Lonely Planet Little Brown Knopf Group Knopf Doubleday Publishing Group
图书、音像、电子书刊,英文原版,励志,"https://list.jd.com/list.html?cat=1713,4855,4882",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,励志,"https://list.jd.com/list.html?cat=1713,4855,4882",包装：,平装 精装 简装
图书、音像、电子书刊,英文原版,励志,"https://list.jd.com/list.html?cat=1713,4855,4882",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,英文原版,励志,"https://list.jd.com/list.html?cat=1713,4855,4882",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",分类：,哲学经典著作 中国哲学 东方哲学 西方哲学 哲学理论与流派 马克思哲学 思维科学 美学 逻辑学 伦理学 哲学史 宗教普及读物 宗教经典著作 佛教原典 佛教研究著作 藏传佛教 佛教名家作品 宗教术数 基督教 宗教艺术 天主教 宗教理论与概况 犹太教 宗教神话与传说 道教 伊斯兰教 其他宗教
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",出版社： 已选条件：,九州出版社 辽海出版社 浙江人民出版社 中国人民大学出版社 复旦大学出版社 中国华侨出版社 中央编译出版社 上海人民出版社 上海古籍出版社 译林出版社 海南出版社 团结出版社 台海出版社 华夏出版社 宗教文化出版社 浙江大学出版社 上海译文出版社 电子工业出版社
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",包装：,平装 精装 盒装 袋装 软精装 线装 简装
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,人文社科,哲学,"https://list.jd.com/list.html?cat=1713,3274&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",分类：,经部 史部 子部 集部 古籍整理 四库全书 国学名家 线装书 礼品书 国学普及读物 书目辞典 古籍工具书 古籍善本影印本
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",出版社： 已选条件：,上海古籍出版社 中国华侨出版社 吉林美术出版社 凤凰出版社 中国纺织出版社 团结出版社 江西人民出版社 光明日报出版社 作家出版社 中州古籍出版社 中国文联出版社 九州出版社 国家图书馆出版社 华夏出版社 中国商务出版社 人民文学出版社 辽海出版社 江苏凤凰文艺出版社
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",包装：,平装 精装 盒装 袋装 软精装 线装 简装
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,人文社科,国学,"https://list.jd.com/list.html?cat=1713,3275&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",分类：,文化理论 文化史 方针政策及其阐述 文化评述 文化研究 文化交流/文化产业 文化专题研究 地域文化 传统文化 民俗文化 民族文化 文化刊物 世界各国文化 文化随笔
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",出版社： 已选条件：,四川文艺出版社 上海人民出版社 广西师范大学出版社 浙江文艺出版社 新星出版社 天地出版社 中国建筑工业出版社 江西人民出版社 长江文艺出版社 北京出版社 社会科学文献出版社 上海文艺出版社 清华大学出版社 湖南文艺出版社 上海古籍出版社 华东师范大学出版社 华文出版社 中国人民大学出版社
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",包装：,平装 精装 盒装 袋装 软精装 线装 简装 其他
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,人文社科,文化,"https://list.jd.com/list.html?cat=1713,3280&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",分类：,经典著作 教育 新闻出版/档案管理 语言文字 人口学 人才学 人类学 社会结构和社会关系 民族学 社会生活与社会问题 社会学 社会调查 社会科学丛书、文集、连续出版物 社会保障 社会科学文献检索 社会科学理论 公共关系 统计学 社区
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",出版社： 已选条件：,社会科学文献出版社 上海译文出版社 教育科学出版社 电子工业出版社 上海教育出版社 华东师范大学出版社 浙江人民出版社 复旦大学出版社 上海人民出版社 江西人民出版社 中国统计出版社 重庆大学出版社 中国政法大学出版社 开明出版社 广西师范大学出版社 机械工业出版社 浙江大学出版社 上海古籍出版社
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",包装：,平装 精装 盒装 袋装 软精装 线装 简装
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",客户评分：,5星 4星及以上 3星及以上 1星及以上
图书、音像、电子书刊,人文社科,社会科学,"https://list.jd.com/list.html?cat=1713,3281&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",分类：,家常菜谱 烘焙甜品 养生食疗 茶酒饮品 “三高”人群食谱 糖尿病人食谱 地方美食 饮食文化 日韩料理 西餐 美食地图 厨师用书
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",出版社： 已选条件：,化学工业出版社 中国纺织出版社 青岛出版社 辽宁科学技术出版社 中国华侨出版社 北京科学技术出版社 译林出版社 河南科学技术出版社 黑龙江科学技术出版社 航空工业出版社 中国人口出版社 北京美术摄影出版社 电子工业出版社 新疆人民卫生出版社 中信出版社 广西师范大学出版社 江苏凤凰文艺出版社 南海出版社
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",包装：,平装 精装 盒装 软精装 线装 简装
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,生活,烹饪美食,"https://list.jd.com/list.html?cat=1713,9278&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",分类：,基础与理论 通信 基本电子电路 无线通信 微电子学、集成电路(IC) 移动通信 电子元件、组件 无线电设备、电信设备 半导体技术 电视 真空电子技术 广播 光电子技术、激光技术 雷达 电子对抗（干扰及抗干扰） 无线电导航
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",出版社： 已选条件：,电子工业出版社 化学工业出版社 西安电子科技大学出版社 中国电力出版社 中国建筑工业出版社 北京航空航天大学出版社 北京理工大学出版社 国防工业出版社 机械工业出版社 中国石化出版社 中国水利水电出版社 中国铁道出版社 中国标准出版社 武汉大学出版社 科学出版社 西安交通大学出版社 华南理工大学出版社 人民邮电出版社
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",包装：,平装 精装 盒装 袋装 软精装 简装 其他
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,科技,电子通信,"https://list.jd.com/list.html?cat=1713,9351&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
图书、音像、电子书刊,港台图书,艺术/设计/收藏,"https://list.jd.com/list.html?cat=1713,6929,6930",出版社： 已选条件：,机械工业出版社 大家出版社 大田出版社 Vintage Books Scholastic Penguin Books Dorling Kindersley 中华书局出版社 中国水利水电出版社 中国摄影出版社 中国盲文出版社 中国电力出版社 未来出版社 天地出版社 水利水电出版社 上海人民美术出版社 上海人美出版社 商周文化出版社
图书、音像、电子书刊,港台图书,艺术/设计/收藏,"https://list.jd.com/list.html?cat=1713,6929,6930",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,港台图书,艺术/设计/收藏,"https://list.jd.com/list.html?cat=1713,6929,6930",类型：,平面设计 室内设计 服装设计 珠宝设计 音乐/舞蹈 影视 建筑 戏剧 工艺美术 鉴赏收藏
图书、音像、电子书刊,港台图书,艺术/设计/收藏,"https://list.jd.com/list.html?cat=1713,6929,6930",包装：,平装 精装 盒装 软精装 简装
图书、音像、电子书刊,港台图书,艺术/设计/收藏,"https://list.jd.com/list.html?cat=1713,6929,6930",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,港台图书,经济管理,"https://list.jd.com/list.html?cat=1713,3295,6954",出版社： 已选条件：,厦门大学出版社 大牌出版社 寰宇出版股份有限公司 春光出版社 Wiley 中国铁道出版社 万卷出版社 商周文化出版社 三采图书出版社 清华大学出版社 开明出版社 机械工业出版社 方智出版社 当代中国出版社 大田出版社 春天出版社 成都时代出版社 晨星出版社
图书、音像、电子书刊,港台图书,经济管理,"https://list.jd.com/list.html?cat=1713,3295,6954",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,港台图书,经济管理,"https://list.jd.com/list.html?cat=1713,3295,6954",类型：,市场营销 管理学 大众经济学 创业必修 各国经济概况 领导学 财务管理 企业与企业家
图书、音像、电子书刊,港台图书,经济管理,"https://list.jd.com/list.html?cat=1713,3295,6954",包装：,平装 精装 软精装
图书、音像、电子书刊,港台图书,经济管理,"https://list.jd.com/list.html?cat=1713,3295,6954",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,港台图书,文化/学术,"https://list.jd.com/list.html?cat=1713,3296,6957",出版社： 已选条件：,宗教文化出版社 中医古籍出版社 晨星出版社 大牌出版社 浙江人民出版社 复旦大学出版社 中国华侨出版社 学林出版社 上海外语教育出版社 中国人民大学出版社 团结出版社 广东人民出版社 社会科学文献出版社 吉林出版社 浙江人民美术出版社 中国轻工业出版社 外语教学与研究出版社 中国科学文化音像出版社
图书、音像、电子书刊,港台图书,文化/学术,"https://list.jd.com/list.html?cat=1713,3296,6957",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,港台图书,文化/学术,"https://list.jd.com/list.html?cat=1713,3296,6957",类型：,社会/传媒 历史/军事 哲学/宗教 文化/教育
图书、音像、电子书刊,港台图书,文化/学术,"https://list.jd.com/list.html?cat=1713,3296,6957",包装：,平装 精装 软精装
图书、音像、电子书刊,港台图书,文化/学术,"https://list.jd.com/list.html?cat=1713,3296,6957",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",出版社： 已选条件：,北京师范大学出版社 Usborne Phaidon Press Pearson HarperCollins US 商周文化出版社 三联书店出版社 三采图书出版社 光明日报出版社 方智出版社 二十一世纪出版社 东方出版社 大田出版社 春天出版社 春光出版社 晨星出版社
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",年龄：,0-2岁 3-6岁 7-10岁 11-14岁
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",类型：,儿童文学 科普读物 漫画绘本/图画书 艺术培养 游戏/玩具 智力开发 儿童英语
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",包装：,平装 精装 盒装
图书、音像、电子书刊,港台图书,少儿,"https://list.jd.com/list.html?cat=1713,6929,9381",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",分类：,套装书
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",出版社： 已选条件：,法律出版社 人民邮电出版社 中国建筑工业出版社 中国轻工业出版社 化学工业出版社 新蕾出版社 中国人民大学出版社 南京师范大学出版社 湖南少年儿童出版社 中国电力出版社 上海财经大学出版社 中国铁道出版社 中国少年儿童出版社 江苏美术出版社 中信出版社 清华大学出版社 湖南文艺出版社 湖南科学技术出版社
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",包装：,平装 精装 盒装 软精装
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",客户评分：,5星 4星及以上 3星及以上 2星及以上 1星及以上
图书、音像、电子书刊,其他,套装书,"https://list.jd.com/list.html?cat=1713,3296&jth=i",折扣：,0-3折 3-5折 5-7折 7折以上
手机,手机通讯,手机,"https://list.jd.com/list.html?cat=9987,653,655",品牌： 已选条件：,华为（HUAWEI） 小米（MI） Apple 魅族（MEIZU） 三星（SAMSUNG） 一加 OPPO vivo 锤子（smartisan） 诺基亚（NOKIA） 360 努比亚（nubia） 小辣椒 黑鲨 中兴（ZTE） 酷派（Coolpad） 荣耀 飞利浦（PHILIPS）
手机,手机通讯,手机,"https://list.jd.com/list.html?cat=9987,653,655",价格：,0-499 500-999 1000-1699 1700-2799 2800-4499 4500-11999 12000以上
手机,手机通讯,手机,"https://list.jd.com/list.html?cat=9987,653,655",运行内存：,8GB 6GB 4GB 3GB 2GB 2GB以下
手机,手机通讯,手机,"https://list.jd.com/list.html?cat=9987,653,655",机身内存：,256GB 128GB 64GB 32GB 16GB 8GB 8GB以下 支持内存卡
手机,手机通讯,手机,"https://list.jd.com/list.html?cat=9987,653,655",屏幕尺寸：,5.6英寸及以上 5.5-5.1英寸 5.0-4.6英寸 4.5-3.1英寸 3.0英寸及以下
手机,手机通讯,对讲机,"https://list.jd.com/list.html?cat=9987,653,659",品牌： 已选条件：,宝锋（BAOFENG） 摩托罗拉（Motorola） GETIEN 科威盛（kevsen） 万华（Wanhua） 米家 小米（MI） 好力达（Holyda） QUANSHENG 科立捷（KOLEEJ） 威贝特 雷曼克斯（LineMax） 海能达（Hytera） 北峰 建伍（KENWOOD） TYT MOTOROLA 力盛（LSENG）
手机,手机通讯,对讲机,"https://list.jd.com/list.html?cat=9987,653,659",价格：,1-99 100-299 300-499 500-999 1000以上
手机,手机通讯,对讲机,"https://list.jd.com/list.html?cat=9987,653,659",类别：,公众对讲机 商用对讲机 专业对讲机 车载台 其他
手机,手机通讯,对讲机,"https://list.jd.com/list.html?cat=9987,653,659",制式：,模拟对讲机 数字对讲机 其他
手机,手机通讯,对讲机,"https://list.jd.com/list.html?cat=9987,653,659",功率：,0.5W 2W 4W 5W 其他
手机,运营商,合约机,"https://list.jd.com/list.html?cat=9987,6880,6881",品牌： 已选条件：,华为（HUAWEI） 小米（MI） 一加 Apple 三星（SAMSUNG） vivo 荣耀 荣耀 电信 OPPO 中国电信 锤子（smartisan） 中国移动 诺基亚（NOKIA） 联通 炒米 努比亚（nubia） 中国联通（China Unicom）
手机,运营商,合约机,"https://list.jd.com/list.html?cat=9987,6880,6881",价格：,0-999 1000-1599 1600-2599 2600-5199 5200-5999 6000-6499 6500以上
手机,运营商,合约机,"https://list.jd.com/list.html?cat=9987,6880,6881",运营商：,联通合约机 电信合约机 移动合约机
手机,运营商,合约机,"https://list.jd.com/list.html?cat=9987,6880,6881",网络：,移动4G 联通4G 电信4G 移动3G 联通3G 电信3G 移动2G/联通2G 电信2G 双卡
手机,运营商,合约机,"https://list.jd.com/list.html?cat=9987,6880,6881",屏幕尺寸：,5.6英寸及以上 5.5-5.1英寸 5.0-4.6英寸 4.5-3.1英寸 3.0英寸及以下
手机,运营商,选号中心,"https://list.jd.com/list.html?cat=9987,6880,12360",品牌： 已选条件：,京东通信
手机,运营商,选号中心,"https://list.jd.com/list.html?cat=9987,6880,12360",价格：,18-106 107-421 422-1698 1699以上
手机,运营商,选号中心,"https://list.jd.com/list.html?cat=9987,6880,12360",归属地：,北京 其他
手机,运营商,选号中心,"https://list.jd.com/list.html?cat=9987,6880,12360",网络制式：,WCDMA 其他
手机,运营商,选号中心,"https://list.jd.com/list.html?cat=9987,6880,12360",大家说：,卡号还不错 选号方便 号段不错 合约机 无漫游 号码不错 话费便宜 套餐实惠 资费便宜 上网速度快
手机,运营商,装宽带,"https://list.jd.com/list.html?cat=9987,6880,12428",品牌： 已选条件：,中国电信 中国联通（China Unicom） 辽宁电信 电信 黑龙江电信 佛山电信 联通 中国移动 长城宽带 江苏电信 华为（HUAWEI） 陕西电信 四川联通 北京联通 上海电信 宽带通（BROAD NETCOM） 吉林联通 山西联通
手机,运营商,装宽带,"https://list.jd.com/list.html?cat=9987,6880,12428",价格：,0-479 480-579 580-689 690-919 920-1039 1040-1159 1160以上
手机,运营商,装宽带,"https://list.jd.com/list.html?cat=9987,6880,12428",归属地：,北京 上海 广东 安徽 江苏 浙江 四川 重庆 云南 天津 陕西 山西 山东 内蒙古 辽宁 江西 吉林 湖南 湖北 黑龙江 河南 河北 海南 广西 福建 宁夏 新疆
手机,运营商,装宽带,"https://list.jd.com/list.html?cat=9987,6880,12428",宽带组合：,宽带单装 宽带+固话 宽带+手机 宽带+高清ITV
手机,运营商,装宽带,"https://list.jd.com/list.html?cat=9987,6880,12428",速率：,4M及以下 6M-10M 10M-20M 50m 100M(光纤) 100M以上(光纤)
手机,运营商,办套餐,"https://list.jd.com/list.html?cat=9987,6880,1195",品牌： 已选条件：,中国电信 中国移动 中国联通（China Unicom） 联通 中国电信 电信 黑龙江电信 上海电信 辽宁电信 北京联通 北京移动 小米（MI） 深圳电信（SZTelecom） 江苏电信 江西联通 天津联通 上海联通 山东电信
手机,运营商,办套餐,"https://list.jd.com/list.html?cat=9987,6880,1195",省份：,广东 河北 新疆 北京 辽宁 河南 山东 上海 山西 江苏 重庆 湖北 其他 天津 黑龙江 内蒙古 四川 福建 湖南 广西 浙江 陕西 安徽 江西 吉林 云南 甘肃 海南 宁夏
手机,运营商,办套餐,"https://list.jd.com/list.html?cat=9987,6880,1195",月付费：,0元 1~9元 10~19元 20~49元 50~99元 100元及以上 其他
手机,运营商,办套餐,"https://list.jd.com/list.html?cat=9987,6880,1195",特色推荐：,纯流量卡 其他 自由定制套餐 京东专享套餐 无套餐卡
手机,运营商,办套餐,"https://list.jd.com/list.html?cat=9987,6880,1195",通话时长：,100分钟及以下 101~200分钟 其他 201~400分钟 401~600分钟 600分钟以上
